City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
327,Faanui,PF,79.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
328,Yeppoon,AU,89.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
330,Blackwater,AU,89.82,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
338,Elmina,GH,77.36,light rain,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
339,Tainan,TW,80.51,scattered clouds,22.9908,120.2133,Tie Dao Hotel
340,Ampanihy,MG,68.5,overcast clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
342,Diu,IN,75.6,clear sky,20.7141,70.9822,Hotel Relax Inn
344,Sandusky,US,70.0,overcast clouds,41.3501,-83.1332,Great Lakes Motel Fremont
345,Wagga Wagga,AU,70.84,broken clouds,-35.1167,147.3667,The Club Motel and Apartments
347,Celestun,MX,79.5,light rain,20.8667,-90.4,Posada Lilia
350,May Pen,JM,81.61,scattered clouds,17.9645,-77.2451,Mus Com Bac
351,Bubaque,GW,83.37,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
352,Merauke,ID,87.39,light rain,-8.4667,140.3333, 
355,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
357,Daru,PG,87.4,broken clouds,-9.0763,143.2092,Daru Lodge
358,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
363,Roma,US,68.09,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
366,Moron,AR,72.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
373,Mareeba,AU,96.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
376,Cuamba,MZ,73.49,scattered clouds,-14.8031,36.5372,Hotel Vision
377,Benjamin Aceval,PY,77.59,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
378,Grand Gaube,MU,72.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
382,Luanda,AO,76.01,few clouds,-8.8368,13.2343,EPIC SANA Luanda
385,Turbat,PK,78.66,clear sky,26.0023,63.044,Mubashar Quarters
386,Puerto Del Rosario,ES,73.15,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
388,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
392,Bima,ID,89.47,overcast clouds,-8.4667,118.7167,Lambitu Hotel
393,Crotone,IT,74.19,few clouds,39.0851,17.1178,Helios Hotel
