City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Longyearbyen,SJ,78.2186,15.6401,12.04,79,20,10.36,few clouds
178,Doha,QA,25.2867,51.5333,80.58,69,0,2.3,clear sky
179,Meadow Lake,US,34.8014,-106.5436,55.11,36,0,1.23,clear sky
180,Chiredzi,ZW,-21.05,31.6667,75.49,58,3,5.14,clear sky
181,Lagoa,PT,39.05,-27.9833,62.51,69,37,24.72,light rain
182,Esperance,AU,-33.8667,121.9,62.46,67,28,10.76,scattered clouds
183,Ust-Tsilma,RU,65.441,52.1498,31.86,87,100,6.46,overcast clouds
184,Abu Dhabi,AE,24.4667,54.3667,78.82,75,0,1.01,clear sky
185,Saint-Joseph,RE,-21.3667,55.6167,66.58,70,12,9.66,few clouds
186,Anadyr,RU,64.75,177.4833,9.1,92,40,8.95,scattered clouds
187,Alta Floresta,BR,-9.8756,-56.0861,73.26,86,100,2.33,overcast clouds
188,Ancud,CL,-41.8697,-73.8203,51.85,97,97,13.82,light rain
189,Nyimba,ZM,-14.5566,30.8149,75.63,43,15,3.02,few clouds
190,Lodja,CD,-3.4833,23.4333,68.27,98,85,1.86,light rain
191,Beloha,MG,-25.1667,45.05,69.01,88,100,3.89,overcast clouds
192,Taksimo,RU,56.3444,114.8794,24.58,58,63,1.79,broken clouds
193,Conceicao Da Barra,BR,-18.5933,-39.7322,71.44,91,35,3.65,light rain
194,Hofn,IS,64.2539,-15.2082,42.6,81,100,15.86,overcast clouds
195,Inuvik,CA,68.3499,-133.7218,14.86,85,75,5.75,light snow
196,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,5.75,clear sky
197,Fortuna,US,40.5982,-124.1573,53.94,92,0,8.05,clear sky
198,Port Moresby,PG,-9.4431,147.1797,92.62,55,40,9.22,haze
199,High Rock,BS,26.6208,-78.2833,77.02,69,2,6.69,clear sky
200,Praia,CV,14.9215,-23.5087,77.54,78,20,11.5,few clouds
201,Okhotsk,RU,59.3833,143.3,26.65,55,40,8.48,scattered clouds
202,Santa Isabel,BR,-23.3156,-46.2214,63.7,90,83,3.0,broken clouds
203,Port-Gentil,GA,-0.7193,8.7815,78.64,84,100,8.43,overcast clouds
204,Lujiang,CN,31.2581,117.2817,58.28,78,100,4.16,overcast clouds
205,Bukachacha,RU,52.9833,116.9167,31.55,39,8,2.04,clear sky
206,Mehamn,NO,71.0357,27.8492,33.75,86,100,13.8,overcast clouds
207,Requena,ES,39.4883,-1.1004,58.78,39,100,4.36,overcast clouds
208,Sungairaya,ID,0.7,108.9,84.49,69,72,4.65,broken clouds
209,Saint-Augustin,CA,51.226,-58.6502,51.17,87,100,8.43,overcast clouds
210,Pevek,RU,69.7008,170.3133,0.99,91,38,4.94,scattered clouds
211,Mahebourg,MU,-20.4081,57.7,72.25,83,75,11.5,broken clouds
212,Mtambile,TZ,-5.3833,39.7,75.54,85,48,8.03,light rain
213,Chuy,UY,-33.6971,-53.4616,59.27,87,73,12.19,broken clouds
214,Novokizhinginsk,RU,51.6115,109.5917,30.18,45,8,5.17,clear sky
215,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,45,40,2.24,scattered clouds
216,Kaduqli,SD,11.0167,29.7167,70.52,36,27,7.87,scattered clouds
217,Pinega,RU,64.7001,43.3936,28.85,93,41,5.61,scattered clouds
218,Ayagoz,KZ,47.9714,80.4392,35.02,58,86,4.03,overcast clouds
219,Dingle,PH,10.9995,122.6711,83.21,81,100,11.21,overcast clouds
220,Jining,CN,35.405,116.5814,61.57,50,100,11.74,overcast clouds
221,Gavle,SE,60.6745,17.1417,46.35,99,100,1.99,overcast clouds
222,Haines Junction,CA,60.7522,-137.5108,21.15,68,60,3.44,broken clouds
223,Karpathos,GR,35.507,27.2132,64.36,88,1,6.91,clear sky
224,Fier,AL,40.7239,19.5561,64.27,60,5,3.44,clear sky
225,Tombouctou,ML,20.0,-3.0,75.54,18,5,11.43,clear sky
226,Sambava,MG,-14.2667,50.1667,68.99,88,49,6.62,scattered clouds
227,Salalah,OM,17.0151,54.0924,73.65,65,0,3.94,clear sky
228,Bertoua,CM,4.5833,13.6833,66.09,98,99,2.42,overcast clouds
229,Nokaneng,BW,-19.6667,22.2667,75.63,45,96,1.43,light rain
230,Iqaluit,CA,63.7506,-68.5145,28.13,79,75,23.02,light snow
231,Dikson,RU,73.5069,80.5464,23.94,76,100,0.27,overcast clouds
232,Langham,CA,52.3668,-106.9679,37.24,88,92,6.4,overcast clouds
233,Kodiak,US,57.79,-152.4072,45.91,87,20,6.91,few clouds
234,San Cristobal,VE,7.7669,-72.225,66.38,97,100,1.25,moderate rain
235,Naze,JP,28.3667,129.4833,72.52,57,97,16.8,overcast clouds
236,Deer Lake,CA,49.1667,-57.4316,51.66,100,75,3.44,broken clouds
237,Bawku,GH,11.0616,-0.2417,80.44,48,58,4.81,broken clouds
238,Wagar,SD,16.1525,36.2032,81.52,34,9,10.09,clear sky
239,Flinders,AU,-34.5833,150.8552,81.37,52,5,7.0,clear sky
240,Tete,MZ,-16.1564,33.5867,78.89,57,0,0.0,clear sky
241,Poum,NC,-20.2333,164.0167,76.91,77,1,6.04,clear sky
242,Asfi,MA,32.2994,-9.2372,75.13,41,100,8.61,overcast clouds
243,Stephenville,US,32.2207,-98.2023,58.82,54,0,0.0,clear sky
244,Porto Velho,BR,-8.7619,-63.9039,75.25,94,0,3.44,clear sky
245,Male,MV,4.1748,73.5089,80.55,94,20,4.61,few clouds
246,Muyezerskiy,RU,63.9333,31.65,28.76,91,100,6.58,overcast clouds
247,Cayenne,GF,4.9333,-52.3333,78.84,89,0,1.14,clear sky
248,Cupira,BR,-8.6167,-35.95,67.44,97,100,3.38,overcast clouds
249,Yerbogachen,RU,61.2767,108.0108,28.87,83,100,11.41,light snow
250,Buala,SB,-8.145,159.5921,84.15,74,41,5.17,light rain
251,Malanje,AO,-9.5402,16.341,64.0,95,57,3.56,broken clouds
252,Hopatcong,US,40.9329,-74.6593,65.1,95,100,1.01,overcast clouds
253,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,3.44,overcast clouds
254,Mishkino,RU,55.3389,63.9175,29.01,80,100,9.35,overcast clouds
255,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,76,0,8.99,clear sky
256,Kuna,US,43.4918,-116.4201,48.76,62,0,5.75,clear sky
257,Yulara,AU,-25.2406,130.9889,80.74,21,0,11.48,clear sky
258,Sabha,LY,27.0377,14.4283,66.69,41,0,9.08,clear sky
259,Wattegama,LK,6.7989,81.4808,76.96,86,94,1.21,overcast clouds
260,Rawson,AR,-43.3002,-65.1023,58.05,53,54,13.0,broken clouds
261,Avanigadda,IN,16.0215,80.9181,73.09,82,2,5.3,clear sky
262,Cajamarca,PE,-7.1638,-78.5003,55.27,78,97,1.39,overcast clouds
263,Monrovia,LR,6.3005,-10.7969,78.57,88,82,5.68,broken clouds
264,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,18.41,few clouds
265,Beja,TN,36.7256,9.1817,60.46,37,100,1.79,overcast clouds
266,Ucluelet,CA,48.9329,-125.5528,47.08,91,100,10.09,overcast clouds
267,Touros,BR,-5.1989,-35.4608,77.74,73,10,12.93,clear sky
268,Airai,TL,-8.9266,125.4092,74.8,53,100,1.23,overcast clouds
269,Keetmanshoop,NA,-26.5833,18.1333,70.14,25,98,2.04,overcast clouds
270,Aksarka,RU,66.5606,67.7975,19.81,87,97,5.91,overcast clouds
271,Mirnyy,RU,62.5353,113.9611,28.24,86,100,8.99,overcast clouds
272,Villefranche-Sur-Saone,FR,45.9833,4.7167,64.94,86,99,3.53,overcast clouds
273,Maarianhamina,AX,60.0973,19.9348,49.86,100,100,4.61,overcast clouds
274,Alugan,PH,12.2188,125.4808,82.42,86,100,14.52,overcast clouds
275,Ugoofaaru,MV,5.6667,73.0,81.57,76,95,8.14,overcast clouds
276,Lompoc,US,34.6391,-120.4579,62.02,72,0,12.66,haze
277,Aklavik,CA,68.2191,-135.0107,4.91,98,86,6.49,overcast clouds
278,Galle,LK,6.0367,80.217,78.33,85,100,3.18,light rain
279,Biltine,TD,14.5333,20.9167,72.39,18,2,7.99,clear sky
280,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,25,11.56,scattered clouds
281,Monterey,US,36.2505,-121.2516,56.17,27,14,9.26,few clouds
282,Kimbe,PG,-5.5502,150.1429,88.88,61,100,7.05,light rain
283,Laguna,US,38.421,-121.4238,70.43,48,0,4.61,clear sky
284,Ushtobe,KZ,45.2514,77.9838,45.93,55,67,2.19,light rain
285,Butaritari,KI,3.0707,172.7902,82.2,74,60,5.28,broken clouds
286,High Level,CA,58.5169,-117.136,28.51,93,100,3.44,overcast clouds
287,Sintea Mare,RO,46.5167,21.6,46.51,86,1,3.74,clear sky
288,Olafsvik,IS,64.8945,-23.7142,42.39,81,100,21.0,overcast clouds
289,Cabedelo,BR,-6.9811,-34.8339,77.67,80,20,9.93,few clouds
290,Atar,MR,20.5169,-13.0499,84.61,14,100,5.84,overcast clouds
291,Namibe,AO,-15.1961,12.1522,67.8,86,27,6.91,scattered clouds
292,Tilichiki,RU,60.4667,166.1,32.63,83,100,23.17,overcast clouds
293,Chik,RU,54.9928,82.4311,26.35,79,0,8.95,clear sky
294,Tadine,NC,-21.55,167.8833,71.28,87,100,13.6,overcast clouds
295,Geraldton,AU,-28.7667,114.6,68.41,45,40,12.66,scattered clouds
296,Mehriz,IR,31.5917,54.4318,57.7,34,9,1.95,clear sky
297,San Francisco,US,37.7749,-122.4194,64.4,75,20,27.0,few clouds
